	MIC_001_HMP	MIC_003_HMP	MIC_005_HMP	MIC_006_HMP	MIC_007_HMP	MIC_009_HMP	MIC_010_HMP	MIC_011_HMP	MIC_012_HMP	MIC_013_HMP	MIC_014_HMP	MIC_015_HMP	MIC_016_HMP	MIC_017_HMP	MIC_019_HMP	MIC_020_HMP	MIC_021_HMP	MIC_022_HMP	MIC_023_HMP	MIC_024_HMP	MIC_025_HMP	MIC_026_HMP	MIC_027_HMP	MIC_028_HMP	MIC_029_HMP	MIC_030_HMP	MIC_031_HMP	MIC_032_HMP	MIC_033_HMP	MIC_034_HMP	MIC_036_HMP	MIC_037_HMP	MIC_039_HMP	MIC_040_HMP	MIC_042_HMP	MIC_043_HMP	MIC_044_HMP	MIC_045_HMP	MIC_047_HMP	MIC_049_HMP	MIC_050_HMP	MIC_052_HMP	MIC_053_HMP	MIC_054_HMP	MIC_055_HMP	MIC_056_HMP	MIC_057_HMP	MIC_058_HMP	MIC_059_HMP	MIC_062_HMP	MIC_063_HMP	MIC_064_HMP	MIC_065_HMP	MIC_066_HMP	MIC_067_HMP
MIC_001_HMP	0.0	0.647899994519	0.805411682488	0.870399052866	0.723777917212	0.805970020189	0.779928952726	0.750718828989	0.82471318237	0.843959692629	0.871540929364	0.809696872357	0.849077605615	0.750404020488	0.797028141633	0.676765162394	0.619672987874	0.650231259279	0.813104254786	0.776537141603	0.735737186517	0.771237661003	0.807805641676	0.826658456272	0.78419135755	0.811906255848	0.834636415779	0.72871063416	0.76377564207	0.78099125196	0.791858015859	0.751005510958	0.811201362599	0.849587093645	0.781203502338	0.760165519863	0.7310364852	0.796218521075	0.739366925983	0.808600897429	0.798013025391	0.818379519748	0.775101675584	0.810971205167	0.760518823322	0.760356724682	0.720648645222	0.765303065919	0.78017696836	0.751356483156	0.750462693008	0.754133192304	0.767935222852	0.777642520713	0.803499521047
MIC_003_HMP	0.647899994519	0.0	0.743598096777	0.880774122815	0.690736788392	0.78939705168	0.770569022897	0.672569579835	0.815627877236	0.857295946361	0.881585811274	0.800691784946	0.853028542139	0.728304128694	0.792517589518	0.704899753624	0.612778273182	0.656392535407	0.830274789134	0.774842309708	0.683527052791	0.770452206441	0.798085038554	0.840542984792	0.775730626892	0.830775762247	0.841783294178	0.670214355257	0.796495598049	0.705916299395	0.739621489056	0.709942214687	0.818476416723	0.842743021191	0.755061145769	0.758616858889	0.716006611531	0.781015124865	0.692805295362	0.809950519826	0.79487107826	0.818284270024	0.780206119452	0.824518517333	0.698319764946	0.689366176483	0.652014155241	0.769534079965	0.687574204677	0.743743691508	0.652995511247	0.679311276383	0.758684793758	0.764417317568	0.761388218203
MIC_005_HMP	0.805411682488	0.743598096777	0.0	0.938437006283	0.773261693183	0.894830494155	0.85669335351	0.739056271397	0.894033556919	0.924769129255	0.937386451615	0.859675620591	0.918608586157	0.734718097196	0.8735072911	0.828182353721	0.765159193003	0.818127456577	0.897041205015	0.858748460276	0.694974401679	0.87021403874	0.884227637767	0.906059045695	0.884310349652	0.908210649728	0.911114782	0.798961273706	0.85881367003	0.790334648481	0.849155356289	0.822607451507	0.906934865855	0.925649122214	0.872843503834	0.854572307886	0.768224148505	0.864518469458	0.796747568496	0.891126621735	0.898515859315	0.890636505415	0.872811605193	0.900911032654	0.815654390107	0.788202926154	0.738779736224	0.859549150554	0.729146194048	0.837275215796	0.785895831928	0.767970268477	0.838918731247	0.847584332754	0.791762179956
MIC_006_HMP	0.870399052866	0.880774122815	0.938437006283	0.0	0.876263878111	0.748316122462	0.775504472649	0.857462182299	0.766649930451	0.744705765417	0.740021331061	0.827349818756	0.657144745137	0.853300840161	0.800267968893	0.832910320029	0.861397601656	0.848235475251	0.766850637111	0.763527449628	0.899787125314	0.761985728899	0.787023785423	0.754007424467	0.728358144354	0.710367935504	0.7094515992	0.838922635239	0.793223103265	0.801475969544	0.775964079927	0.822875253662	0.696200185664	0.704208041969	0.785918925547	0.816552091381	0.878008808661	0.817855902896	0.799165160835	0.710089622086	0.698731586641	0.709993931416	0.726603350834	0.713484788904	0.807401807038	0.880296324812	0.864355189322	0.728444388788	0.891971619541	0.816735816685	0.872869447485	0.824388417704	0.781058997027	0.782954615536	0.855167742469
MIC_007_HMP	0.723777917212	0.690736788392	0.773261693183	0.876263878111	0.0	0.802056446135	0.812957537406	0.706950337984	0.833797801583	0.848503956684	0.884615585091	0.783894179508	0.850646460615	0.748333776021	0.802495085842	0.764770605115	0.743463147554	0.72559393872	0.827610128846	0.801077076021	0.719532707537	0.771193201912	0.833931474476	0.818653172081	0.817918389938	0.817449628698	0.845335535677	0.726490320982	0.823122639213	0.749692388745	0.784464689799	0.736118258295	0.80197895714	0.835042914377	0.785642037354	0.785201541888	0.743769350928	0.823743441259	0.741597635865	0.790713430256	0.782184396501	0.802982004687	0.775633065902	0.820941437763	0.759475647806	0.741008826799	0.707495139385	0.755043252114	0.757708065206	0.769519265503	0.749301327115	0.721948091904	0.771800396982	0.762992584999	0.751995902004
MIC_009_HMP	0.805970020189	0.78939705168	0.894830494155	0.748316122462	0.802056446135	0.0	0.681386870046	0.738840328179	0.737170513959	0.704058824444	0.764879935575	0.744569723419	0.700356891321	0.753493378619	0.712606757947	0.729563282438	0.781989317561	0.767777330035	0.717635404259	0.67155223793	0.836222598648	0.646901298742	0.703676241639	0.683901180068	0.638122200441	0.666715648761	0.684540235512	0.702927745513	0.694814507188	0.687245046155	0.636993737596	0.71236995393	0.659700384788	0.698509951361	0.653246662134	0.67387369458	0.753627487881	0.719635066167	0.652108578841	0.620497269052	0.607010180832	0.673261539331	0.643828219621	0.669743275963	0.676793108783	0.795615171902	0.757150327738	0.62858451053	0.797506621232	0.760250233657	0.785877738945	0.716666682372	0.682166860748	0.674783587624	0.804366517902
MIC_010_HMP	0.779928952726	0.770569022897	0.85669335351	0.775504472649	0.812957537406	0.681386870046	0.0	0.712733853775	0.745199485125	0.700950789949	0.740903881971	0.653090865724	0.692132910538	0.717581939266	0.742614195313	0.711271180169	0.758811174238	0.748677022586	0.689969854401	0.660961572072	0.80390377096	0.646675630204	0.7117392902	0.676042720491	0.654919377609	0.707278716229	0.726602669613	0.723433184962	0.731568829181	0.647773744126	0.673197138527	0.67439356233	0.691731942034	0.745729738201	0.722148360453	0.70906699462	0.758499417267	0.732456753306	0.677014010468	0.677327907194	0.676524910271	0.651606015664	0.656184895932	0.674564358551	0.675086752676	0.757990007762	0.749057021487	0.636924167949	0.746916328186	0.726453229734	0.74727198755	0.683103772354	0.623020385092	0.648694742729	0.752316465412
MIC_011_HMP	0.750718828989	0.672569579835	0.739056271397	0.857462182299	0.706950337984	0.738840328179	0.712733853775	0.0	0.799321903015	0.814016000903	0.851457419728	0.716723166285	0.803615743288	0.652639669203	0.767017853541	0.705394837806	0.672570784114	0.669931983231	0.768268367997	0.705557734663	0.706193941576	0.693614635102	0.743676479011	0.772229056977	0.737305413426	0.768798821574	0.803657124342	0.692055468587	0.760498218946	0.61764016597	0.671254631594	0.66038530177	0.783180058845	0.815233560038	0.733003666622	0.719206381418	0.653287311626	0.732462859011	0.637547741915	0.753966425142	0.725515573289	0.779174470912	0.716169105516	0.773179009305	0.642508724153	0.685658154854	0.614699834649	0.689970767235	0.642686741145	0.718977997275	0.690544646777	0.624578246388	0.663743401644	0.678897445206	0.664163814258
MIC_012_HMP	0.82471318237	0.815627877236	0.894033556919	0.766649930451	0.833797801583	0.737170513959	0.745199485125	0.799321903015	0.0	0.781178294857	0.780175507996	0.814557386176	0.725064161079	0.797511673661	0.759041984455	0.76557894368	0.802285560188	0.772458712365	0.766222008808	0.741728571093	0.847637378906	0.710858470264	0.741099781391	0.759332915639	0.721263365406	0.697385022196	0.726292804733	0.829494560841	0.759794136865	0.731452592508	0.728342549177	0.734361180709	0.701369149091	0.741658353262	0.752675649333	0.778970077378	0.808885965618	0.789877863931	0.734494640541	0.648386297237	0.662824914338	0.68461286754	0.667022095905	0.667340251008	0.740147935322	0.804481777826	0.790426197596	0.694773386706	0.82766761037	0.741788298538	0.826193042294	0.74910334226	0.714555475429	0.744341882281	0.82096326569
MIC_013_HMP	0.843959692629	0.857295946361	0.924769129255	0.744705765417	0.848503956684	0.704058824444	0.700950789949	0.814016000903	0.781178294857	0.0	0.725401112732	0.735985719135	0.712580991498	0.811623533787	0.754024449814	0.799983076389	0.837607518792	0.814848358395	0.644664926487	0.763207798132	0.874241595094	0.747835188648	0.735704313684	0.601279984788	0.73121536465	0.749765009189	0.74995889672	0.804206842311	0.772491233864	0.751497978676	0.768057255829	0.809243052742	0.760609643483	0.744940592449	0.726319696171	0.758832142646	0.831419039496	0.771983853656	0.760112227327	0.737988830692	0.73581870303	0.751658000332	0.747463569686	0.729962070397	0.780724480491	0.86634934313	0.842599329014	0.723357724339	0.864262651608	0.818750601208	0.840759145986	0.784484102415	0.747405508172	0.758386845689	0.845248462875
